"guideline","category","file_name","publication_date","extension","url","title_clean","publication_date_clean","extension_clean","filename","folder","full_path","downloaded","download_status","error"
"NG259","Committee list updated","Committee member list updated","05 January 2026","pdf","https://www.nice.org.uk/guidance/ng259/documents/committee-member-list-2","Committee_member_list_updated","05_January_2026","pdf","Committee_member_list_updated_05_January_2026.pdf","D:/NICE_history/NG259","D:/NICE_history/NG259/Committee_member_list_updated_05_January_2026.pdf",TRUE,"downloaded",
"NG259","Committee meetings","Minutes 1","02 February 2023","pdf","https://www.nice.org.uk/guidance/ng259/documents/minutes-14","Minutes_1","02_February_2023","pdf","Minutes_1_02_February_2023.pdf","D:/NICE_history/NG259","D:/NICE_history/NG259/Minutes_1_02_February_2023.pdf",TRUE,"downloaded",
"NG259","Committee meetings","Minutes 17","03 June 2025","pdf","https://www.nice.org.uk/guidance/ng259/documents/minutes-2","Minutes_17","03_June_2025","pdf","Minutes_17_03_June_2025.pdf","D:/NICE_history/NG259","D:/NICE_history/NG259/Minutes_17_03_June_2025.pdf",TRUE,"downloaded",
"NG259","Committee meetings","Minutes 21","04 November 2025","pdf","https://www.nice.org.uk/guidance/ng259/documents/minutes-6","Minutes_21","04_November_2025","pdf","Minutes_21_04_November_2025.pdf","D:/NICE_history/NG259","D:/NICE_history/NG259/Minutes_21_04_November_2025.pdf",TRUE,"downloaded",
"NG259","Committee meetings","Minutes 22","05 November 2025","pdf","https://www.nice.org.uk/guidance/ng259/documents/minutes-7","Minutes_22","05_November_2025","pdf","Minutes_22_05_November_2025.pdf","D:/NICE_history/NG259","D:/NICE_history/NG259/Minutes_22_05_November_2025.pdf",TRUE,"downloaded",
"NG259","Committee meetings","Minutes 3","07 June 2023","pdf","https://www.nice.org.uk/guidance/ng259/documents/minutes-18","Minutes_3","07_June_2023","pdf","Minutes_3_07_June_2023.pdf","D:/NICE_history/NG259","D:/NICE_history/NG259/Minutes_3_07_June_2023.pdf",TRUE,"downloaded",
"NG259","Committee meetings","Minutes 20","07 October 2025","pdf","https://www.nice.org.uk/guidance/ng259/documents/minutes-5","Minutes_20","07_October_2025","pdf","Minutes_20_07_October_2025.pdf","D:/NICE_history/NG259","D:/NICE_history/NG259/Minutes_20_07_October_2025.pdf",TRUE,"downloaded",
"NG259","Committee meetings","Minutes 7","09 January 2024","pdf","https://www.nice.org.uk/guidance/ng259/documents/minutes-22","Minutes_7","09_January_2024","pdf","Minutes_7_09_January_2024.pdf","D:/NICE_history/NG259","D:/NICE_history/NG259/Minutes_7_09_January_2024.pdf",TRUE,"downloaded",
"NG259","Committee meetings","Minutes 10","12 June 2024","pdf","https://www.nice.org.uk/guidance/ng259/documents/minutes-25","Minutes_10","12_June_2024","pdf","Minutes_10_12_June_2024.pdf","D:/NICE_history/NG259","D:/NICE_history/NG259/Minutes_10_12_June_2024.pdf",TRUE,"downloaded",
"NG259","Committee meetings","Minutes 5","12 October 2023","pdf","https://www.nice.org.uk/guidance/ng259/documents/minutes-20","Minutes_5","12_October_2023","pdf","Minutes_5_12_October_2023.pdf","D:/NICE_history/NG259","D:/NICE_history/NG259/Minutes_5_12_October_2023.pdf",TRUE,"downloaded",
"NG259","Committee meetings","Minutes 8","14 February 2024","pdf","https://www.nice.org.uk/guidance/ng259/documents/minutes-23","Minutes_8","14_February_2024","pdf","Minutes_8_14_February_2024.pdf","D:/NICE_history/NG259","D:/NICE_history/NG259/Minutes_8_14_February_2024.pdf",TRUE,"downloaded",
"NG259","Committee meetings","Minutes 13","16 December 2024","pdf","https://www.nice.org.uk/guidance/ng259/documents/minutes-28","Minutes_13","16_December_2024","pdf","Minutes_13_16_December_2024.pdf","D:/NICE_history/NG259","D:/NICE_history/NG259/Minutes_13_16_December_2024.pdf",TRUE,"downloaded",
"NG259","Committee meetings","Minutes 18","16 July 2025","pdf","https://www.nice.org.uk/guidance/ng259/documents/minutes-3","Minutes_18","16_July_2025","pdf","Minutes_18_16_July_2025.pdf","D:/NICE_history/NG259","D:/NICE_history/NG259/Minutes_18_16_July_2025.pdf",TRUE,"downloaded",
"NG259","Committee meetings","Minutes 4","20 July 2023","pdf","https://www.nice.org.uk/guidance/ng259/documents/minutes-19","Minutes_4","20_July_2023","pdf","Minutes_4_20_July_2023.pdf","D:/NICE_history/NG259","D:/NICE_history/NG259/Minutes_4_20_July_2023.pdf",TRUE,"downloaded",
"NG259","Committee meetings","Minutes 23","20 March 2026","pdf","https://www.nice.org.uk/guidance/ng259/documents/minutes-8","Minutes_23","20_March_2026","pdf","Minutes_23_20_March_2026.pdf","D:/NICE_history/NG259","D:/NICE_history/NG259/Minutes_23_20_March_2026.pdf",TRUE,"downloaded",
"NG259","Committee meetings","Minutes 6","22 November 2023","pdf","https://www.nice.org.uk/guidance/ng259/documents/minutes-21","Minutes_6","22_November_2023","pdf","Minutes_6_22_November_2023.pdf","D:/NICE_history/NG259","D:/NICE_history/NG259/Minutes_6_22_November_2023.pdf",TRUE,"downloaded",
"NG259","Committee meetings","Minutes 12","23 September 2024","pdf","https://www.nice.org.uk/guidance/ng259/documents/minutes-27","Minutes_12","23_September_2024","pdf","Minutes_12_23_September_2024.pdf","D:/NICE_history/NG259","D:/NICE_history/NG259/Minutes_12_23_September_2024.pdf",TRUE,"downloaded",
"NG259","Committee meetings","Minutes 24","24 March 2026","pdf","https://www.nice.org.uk/guidance/ng259/documents/minutes-9","Minutes_24","24_March_2026","pdf","Minutes_24_24_March_2026.pdf","D:/NICE_history/NG259","D:/NICE_history/NG259/Minutes_24_24_March_2026.pdf",TRUE,"downloaded",
"NG259","Committee meetings","Minutes 9","25 March 2024","pdf","https://www.nice.org.uk/guidance/ng259/documents/minutes-24","Minutes_9","25_March_2024","pdf","Minutes_9_25_March_2024.pdf","D:/NICE_history/NG259","D:/NICE_history/NG259/Minutes_9_25_March_2024.pdf",TRUE,"downloaded",
"NG259","Committee meetings","Minutes 2","26 April 2023","pdf","https://www.nice.org.uk/guidance/ng259/documents/minutes-17","Minutes_2","26_April_2023","pdf","Minutes_2_26_April_2023.pdf","D:/NICE_history/NG259","D:/NICE_history/NG259/Minutes_2_26_April_2023.pdf",TRUE,"downloaded",
"NG259","Committee meetings","Minutes 15","26 March 2025","pdf","https://www.nice.org.uk/guidance/ng259/documents/minutes-30","Minutes_15","26_March_2025","pdf","Minutes_15_26_March_2025.pdf","D:/NICE_history/NG259","D:/NICE_history/NG259/Minutes_15_26_March_2025.pdf",TRUE,"downloaded",
"NG259","Committee meetings","Minutes 16","28 April 2025","pdf","https://www.nice.org.uk/guidance/ng259/documents/minutes","Minutes_16","28_April_2025","pdf","Minutes_16_28_April_2025.pdf","D:/NICE_history/NG259","D:/NICE_history/NG259/Minutes_16_28_April_2025.pdf",TRUE,"downloaded",
"NG259","Committee meetings","Minutes 14","28 January 2025","pdf","https://www.nice.org.uk/guidance/ng259/documents/minutes-29","Minutes_14","28_January_2025","pdf","Minutes_14_28_January_2025.pdf","D:/NICE_history/NG259","D:/NICE_history/NG259/Minutes_14_28_January_2025.pdf",TRUE,"downloaded",
"NG259","Committee meetings","Minutes 11","30 July 2024","pdf","https://www.nice.org.uk/guidance/ng259/documents/minutes-26","Minutes_11","30_July_2024","pdf","Minutes_11_30_July_2024.pdf","D:/NICE_history/NG259","D:/NICE_history/NG259/Minutes_11_30_July_2024.pdf",TRUE,"downloaded",
"NG259","Committee meetings","Minutes 19","30 September 2025","pdf","https://www.nice.org.uk/guidance/ng259/documents/minutes-4","Minutes_19","30_September_2025","pdf","Minutes_19_30_September_2025.pdf","D:/NICE_history/NG259","D:/NICE_history/NG259/Minutes_19_30_September_2025.pdf",TRUE,"downloaded",
"NG259","Declaration of interests","Register of interests","13 January 2026","pdf","https://www.nice.org.uk/guidance/ng259/documents/register-of-interests","Register_of_interests","13_January_2026","pdf","Register_of_interests_13_January_2026.pdf","D:/NICE_history/NG259","D:/NICE_history/NG259/Register_of_interests_13_January_2026.pdf",TRUE,"downloaded",
"NG259","Declaration of interests","Register of interests","18 November 2024","pdf","https://www.nice.org.uk/guidance/ng259/documents/register-of-interests-3","Register_of_interests","18_November_2024","pdf","Register_of_interests_18_November_2024.pdf","D:/NICE_history/NG259","D:/NICE_history/NG259/Register_of_interests_18_November_2024.pdf",TRUE,"downloaded",
"NG259","Draft guidance consultation","Committee member list","13 January 2026","pdf","https://www.nice.org.uk/guidance/ng259/documents/committee-member-list-4","Committee_member_list","13_January_2026","pdf","Committee_member_list_13_January_2026.pdf","D:/NICE_history/NG259","D:/NICE_history/NG259/Committee_member_list_13_January_2026.pdf",TRUE,"downloaded",
"NG259","Draft guidance consultation","Draft guideline (downloadable version)","13 January 2026","pdf","https://www.nice.org.uk/guidance/ng259/documents/450-2","Draft_guideline_(downloadable_version)","13_January_2026","pdf","Draft_guideline_(downloadable_version)_13_January_2026.pdf","D:/NICE_history/NG259","D:/NICE_history/NG259/Draft_guideline_(downloadable_version)_13_January_2026.pdf",TRUE,"downloaded",
"NG259","Draft guidance consultation","Equality impact assessment (downloadable version)","13 January 2026","docx","https://www.nice.org.uk/guidance/ng259/documents/801-4","Equality_impact_assessment_(downloadable_version)","13_January_2026","docx","Equality_impact_assessment_(downloadable_version)_13_January_2026.docx","D:/NICE_history/NG259","D:/NICE_history/NG259/Equality_impact_assessment_(downloadable_version)_13_January_2026.docx",TRUE,"downloaded",
"NG259","Draft guidance consultation","Evidence review A","13 January 2026","docx","https://www.nice.org.uk/guidance/ng259/documents/evidence-review-9","Evidence_review_A","13_January_2026","docx","Evidence_review_A_13_January_2026.docx","D:/NICE_history/NG259","D:/NICE_history/NG259/Evidence_review_A_13_January_2026.docx",TRUE,"downloaded",
"NG259","Draft guidance consultation","Evidence review B","13 January 2026","docx","https://www.nice.org.uk/guidance/ng259/documents/evidence-review-10","Evidence_review_B","13_January_2026","docx","Evidence_review_B_13_January_2026.docx","D:/NICE_history/NG259","D:/NICE_history/NG259/Evidence_review_B_13_January_2026.docx",TRUE,"downloaded",
"NG259","Draft guidance consultation","Evidence review C","13 January 2026","docx","https://www.nice.org.uk/guidance/ng259/documents/evidence-review-11","Evidence_review_C","13_January_2026","docx","Evidence_review_C_13_January_2026.docx","D:/NICE_history/NG259","D:/NICE_history/NG259/Evidence_review_C_13_January_2026.docx",TRUE,"downloaded",
"NG259","Draft guidance consultation","Evidence review D","13 January 2026","docx","https://www.nice.org.uk/guidance/ng259/documents/evidence-review-12","Evidence_review_D","13_January_2026","docx","Evidence_review_D_13_January_2026.docx","D:/NICE_history/NG259","D:/NICE_history/NG259/Evidence_review_D_13_January_2026.docx",TRUE,"downloaded",
"NG259","Draft guidance consultation","Evidence review E","13 January 2026","docx","https://www.nice.org.uk/guidance/ng259/documents/evidence-review-13","Evidence_review_E","13_January_2026","docx","Evidence_review_E_13_January_2026.docx","D:/NICE_history/NG259","D:/NICE_history/NG259/Evidence_review_E_13_January_2026.docx",TRUE,"downloaded",
"NG259","Draft guidance consultation","Evidence review F","13 January 2026","docx","https://www.nice.org.uk/guidance/ng259/documents/evidence-review-14","Evidence_review_F","13_January_2026","docx","Evidence_review_F_13_January_2026.docx","D:/NICE_history/NG259","D:/NICE_history/NG259/Evidence_review_F_13_January_2026.docx",TRUE,"downloaded",
"NG259","Draft guidance consultation","Evidence review G","13 January 2026","docx","https://www.nice.org.uk/guidance/ng259/documents/evidence-review-15","Evidence_review_G","13_January_2026","docx","Evidence_review_G_13_January_2026.docx","D:/NICE_history/NG259","D:/NICE_history/NG259/Evidence_review_G_13_January_2026.docx",TRUE,"downloaded",
"NG259","Draft guidance consultation","Evidence review H","13 January 2026","docx","https://www.nice.org.uk/guidance/ng259/documents/evidence-review-16","Evidence_review_H","13_January_2026","docx","Evidence_review_H_13_January_2026.docx","D:/NICE_history/NG259","D:/NICE_history/NG259/Evidence_review_H_13_January_2026.docx",TRUE,"downloaded",
