"guideline","category","title","publication_date","extension","url","title_clean","publication_date_clean","extension_clean","filename","folder","full_path","downloaded","download_status","error"
"CG65","Original development on 01 April 2008","Perioperative hypothermia (inadvertent) guideline: guideline for consultation","25 October 2007","pdf","https://www.nice.org.uk/guidance/cg65/update/CG65/documents/perioperative-hypothermia-inadvertent-guideline-guideline-for-consultation2","Perioperative_hypothermia_(inadvertent)_guideline_guideline_for_consultation","25_October_2007","pdf","Perioperative_hypothermia_(inadvertent)_guideline_guideline_for_consultation_25_October_2007.pdf","D:/NICE_history/CG65","D:/NICE_history/CG65/Perioperative_hypothermia_(inadvertent)_guideline_guideline_for_consultation_25_October_2007.pdf",TRUE,"downloaded",
"NG259","Draft guidance consultation","Committee member list","13 January 2026","pdf","https://www.nice.org.uk/guidance/ng259/documents/committee-member-list-4","Committee_member_list","13_January_2026","pdf","Committee_member_list_13_January_2026.pdf","D:/NICE_history/NG259","D:/NICE_history/NG259/Committee_member_list_13_January_2026.pdf",TRUE,"downloaded",
"CG164","Original development on 01 June 2013","GDG 1 minutes","02 December 2011","pdf","https://www.nice.org.uk/guidance/cg164/update/CG164/documents/familial-breast-cancer-gdg-1-minutes2","GDG_1_minutes","02_December_2011","pdf","GDG_1_minutes_02_December_2011.pdf","D:/NICE_history/CG164","D:/NICE_history/CG164/GDG_1_minutes_02_December_2011.pdf",TRUE,"downloaded",
"NG10","Equality impact assessment (development)","Equality impact assessment (development)","29 May 2015","pdf","https://www.nice.org.uk/guidance/ng10/documents/violence-and-aggression-update-equality-impact-assessment-development2","Equality_impact_assessment_(development)","29_May_2015","pdf","Equality_impact_assessment_(development)_29_May_2015.pdf","D:/NICE_history/NG10","D:/NICE_history/NG10/Equality_impact_assessment_(development)_29_May_2015.pdf",TRUE,"downloaded",
"NG10","Scoping workshop, consultation and final scope","Draft scope","14 December 2012","pdf","https://www.nice.org.uk/guidance/ng10/documents/violence-and-aggression-update-draft-scope2","Draft_scope","14_December_2012","pdf","Draft_scope_14_December_2012.pdf","D:/NICE_history/NG10","D:/NICE_history/NG10/Draft_scope_14_December_2012.pdf",TRUE,"downloaded",
"NG19","Original development on 26 August 2015","Appendices H-K","07 January 2015","pdf","https://www.nice.org.uk/guidance/ng19/update/NG19/documents/diabetic-foot-problems-appendices-hk2","Appendices_H-K","07_January_2015","pdf","Appendices_H-K_07_January_2015.pdf","D:/NICE_history/NG19","D:/NICE_history/NG19/Appendices_H-K_07_January_2015.pdf",TRUE,"downloaded",
"NG19","Original development on 26 August 2015","Final scope","31 July 2013","pdf","https://www.nice.org.uk/guidance/ng19/update/NG19/documents/diabetic-foot-problems-final-scope2","Final_scope","31_July_2013","pdf","Final_scope_31_July_2013.pdf","D:/NICE_history/NG19","D:/NICE_history/NG19/Final_scope_31_July_2013.pdf",TRUE,"downloaded",
"NG50","Original development on 06 July 2016","Gdg 8 minutes","14 July 2015","pdf","https://www.nice.org.uk/guidance/ng50/update/ng50/documents/assessment-and-management-of-cirrhosis-gdg-8-minutes2","Gdg_8_minutes","14_July_2015","pdf","Gdg_8_minutes_14_July_2015.pdf","D:/NICE_history/NG50","D:/NICE_history/NG50/Gdg_8_minutes_14_July_2015.pdf",TRUE,"downloaded",
"NG50","Scope published","Consultation comments and responses","09 December 2022","pdf","https://www.nice.org.uk/guidance/ng50/update/ng50-update-1/documents/consultation-comments-and-responses","Consultation_comments_and_responses","09_December_2022","pdf","Consultation_comments_and_responses_09_December_2022.pdf","D:/NICE_history/NG50","D:/NICE_history/NG50/Consultation_comments_and_responses_09_December_2022.pdf",TRUE,"downloaded",
"NG55","Sexually harmful behaviour among young people: scope consultation","Sexually harmful behaviour among young people: draft scope","23 September 2014","pdf","https://www.nice.org.uk/guidance/ng55/documents/sexually-harmful-behaviour-among-young-people-draft-scope-2","Sexually_harmful_behaviour_among_young_people_draft_scope","23_September_2014","pdf","Sexually_harmful_behaviour_among_young_people_draft_scope_23_September_2014.pdf","D:/NICE_history/NG55","D:/NICE_history/NG55/Sexually_harmful_behaviour_among_young_people_draft_scope_23_September_2014.pdf",TRUE,"downloaded",
